isbn13,title,authors,categories,published_year,Date of reading
9780061208492,The Complete C. S. Lewis Signature Classics,C. S. Lewis,Religion,2007.0,2025-11-18 18:43:01
9780006163831,The One Tree,Stephen R. Donaldson,American fiction,1982.0,2025-11-18 18:47:44
9780006163831,The One Tree,Stephen R. Donaldson,American fiction,1982.0,2025-11-18 18:49:13
9780002005883,Gilead,Marilynne Robinson,Fiction,2004.0,2025-11-18 18:49:29
9780006280934,The Problem of Pain,Clive Staples Lewis,Christian life,2002.0,2025-11-18 18:49:43
9780006163831,The One Tree,Stephen R. Donaldson,American fiction,1982.0,2025-11-18 18:58:09
9780006496434,The Little House,Philippa Gregory,Country life,1998.0,2025-11-18 18:58:25
a,El Camino,Miguel Delibes,Aventura,1950.0,2025-11-18 18:59:07
9780006178736,Rage of angels,Sidney Sheldon,Fiction,1993.0,2025-11-18 19:02:51
9780006178736,Rage of angels,Sidney Sheldon,Fiction,1993.0,2025-11-19 09:20:43
9780006499626,Miss Marple,Agatha Christie,"Detective and mystery stories, English",1997.0,2025-11-19 09:54:56
9780006178736,Rage of angels,Sidney Sheldon,Fiction,1993.0,2025-11-20 17:44:05
a,El Camino,Miguel Delibes,Aventura,1950.0,2025-11-20 17:44:28
